[2024-07-05 21:21:15.199187]; Lat: -33.458263; Long: -70.662048; Alt: 552.655;
[2024-07-05 21:21:16.205428]; Lat: -33.458263; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:17.211093]; Lat: -33.458263; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:18.214191]; Lat: -33.458263; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:19.220224]; Lat: -33.458263; Long: -70.66205; Alt: 552.671;
[2024-07-05 21:21:20.225884]; Lat: -33.458263; Long: -70.66205; Alt: 552.671;
[2024-07-05 21:21:21.230280]; Lat: -33.458263; Long: -70.66205; Alt: 552.671;
[2024-07-05 21:21:22.236364]; Lat: -33.458263; Long: -70.66205; Alt: 552.669;
[2024-07-05 21:21:23.242096]; Lat: -33.458263; Long: -70.66205; Alt: 552.669;
[2024-07-05 21:21:24.245191]; Lat: -33.458263; Long: -70.66205; Alt: 552.669;
[2024-07-05 21:21:25.251213]; Lat: -33.458265; Long: -70.66205; Alt: 552.688;
[2024-07-05 21:21:26.256828]; Lat: -33.458265; Long: -70.66205; Alt: 552.688;
[2024-07-05 21:21:27.260745]; Lat: -33.458265; Long: -70.66205; Alt: 552.688;
[2024-07-05 21:21:28.268078]; Lat: -33.458265; Long: -70.66205; Alt: 552.634;
[2024-07-05 21:21:29.273721]; Lat: -33.458265; Long: -70.66205; Alt: 552.634;
[2024-07-05 21:21:30.276857]; Lat: -33.458265; Long: -70.66205; Alt: 552.634;
[2024-07-05 21:21:31.284269]; Lat: -33.458265; Long: -70.66205; Alt: 552.64;
[2024-07-05 21:21:32.291324]; Lat: -33.458265; Long: -70.66205; Alt: 552.64;
[2024-07-05 21:21:33.294260]; Lat: -33.458265; Long: -70.66205; Alt: 552.64;
[2024-07-05 21:21:34.300243]; Lat: -33.458265; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:35.307283]; Lat: -33.458265; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:36.310355]; Lat: -33.458265; Long: -70.66205; Alt: 552.655;
